/home/jsolorzano/work/kf_fastqs
/home/jsolorzano/work/kf_fastqs
Started analysis of PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC200Tkf1_rev.fq.gz
Started analysis of PDAC201T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC201T_F8-9kf1_rev.fq.gz
Started analysis of PDAC201Tkf1_fwd.fq.gz
Started analysis of PDAC201Tkf1_rev.fq.gz
Started analysis of PDAC202T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC202T_F8-9kf1_rev.fq.gz
Started analysis of PDAC202Tkf1_fwd.fq.gz
Started analysis of PDAC202Tkf1_rev.fq.gz
Started analysis of PDAC203T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC203T_F8-9kf1_rev.fq.gz
Started analysis of PDAC203Tkf1_fwd.fq.gz
Started analysis of PDAC203Tkf1_rev.fq.gz
Approx 30% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC221Tkf1_fwd.fq.gz
Approx 10% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC219Tkf1_rev.fq.gz
Started analysis of PDAC223Tkf1_rev.fq.gz
Approx 45% complete for PDAC220Tkf1_fwd.fq.gz
Approx 35% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC221Tkf1_rev.fq.gz
Approx 60% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC220Tkf1_rev.fq.gz
Approx 20% complete for PDAC222Tkf1_fwd.fq.gz
Approx 5% complete for PDAC223Tkf1_fwd.fq.gz
Approx 50% complete for PDAC219Tkf1_fwd.fq.gz
Approx 65% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC221Tkf1_fwd.fq.gz
Approx 5% complete for PDAC223Tkf1_rev.fq.gz
Approx 15% complete for PDAC222Tkf1_rev.fq.gz
Approx 50% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC220Tkf1_fwd.fq.gz
Approx 50% complete for PDAC219Tkf1_rev.fq.gz
Approx 55% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC221Tkf1_rev.fq.gz
Approx 80% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC223Tkf1_fwd.fq.gz
Approx 75% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC222Tkf1_fwd.fq.gz
Approx 45% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC221Tkf1_fwd.fq.gz
Approx 50% complete for PDAC220Tkf1_rev.fq.gz
Approx 10% complete for PDAC223Tkf1_rev.fq.gz
Approx 85% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC219Tkf1_fwd.fq.gz
Approx 20% complete for PDAC222Tkf1_rev.fq.gz
Approx 50% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC220Tkf1_fwd.fq.gz
Approx 55% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC221Tkf1_rev.fq.gz
Approx 90% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC219Tkf1_rev.fq.gz
Approx 85% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC223Tkf1_fwd.fq.gz
Approx 60% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC221Tkf1_fwd.fq.gz
Approx 15% complete for PDAC223Tkf1_rev.fq.gz
Approx 95% complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC222Tkf1_fwd.fq.gz
Approx 65% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC220Tkf1_rev.fq.gz
Approx 90% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC222Tkf1_rev.fq.gz
Approx 60% complete for PDAC219Tkf1_fwd.fq.gz
Approx 90% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC223T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC222T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC220Tkf1_fwd.fq.gz
Started analysis of PDAC224T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC221Tkf1_rev.fq.gz
Approx 95% complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC223Tkf1_fwd.fq.gz
Approx 60% complete for PDAC219Tkf1_rev.fq.gz
Approx 50% complete for PDAC221Tkf1_fwd.fq.gz
Approx 20% complete for PDAC223Tkf1_rev.fq.gz
Analysis complete for PDAC223T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC223T_F8-9kf1_rev.fq.gz
Started analysis of PDAC224T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC222T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC222Tkf1_fwd.fq.gz
Started analysis of PDAC224Tkf1_fwd.fq.gz
Approx 5% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC220Tkf1_rev.fq.gz
Approx 30% complete for PDAC222Tkf1_rev.fq.gz
Approx 90% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC219Tkf1_fwd.fq.gz
Approx 50% complete for PDAC221Tkf1_rev.fq.gz
Approx 25% complete for PDAC223Tkf1_fwd.fq.gz
Approx 65% complete for PDAC220Tkf1_fwd.fq.gz
Approx 5% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC221Tkf1_fwd.fq.gz
Approx 10% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC223Tkf1_rev.fq.gz
Approx 65% complete for PDAC219Tkf1_rev.fq.gz
Approx 5% complete for PDAC224Tkf1_fwd.fq.gz
Analysis complete for PDAC223T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC222Tkf1_fwd.fq.gz
Started analysis of PDAC224Tkf1_rev.fq.gz
Approx 10% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC220Tkf1_rev.fq.gz
Approx 35% complete for PDAC222Tkf1_rev.fq.gz
Approx 15% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC223Tkf1_fwd.fq.gz
Approx 55% complete for PDAC221Tkf1_rev.fq.gz
Approx 70% complete for PDAC220Tkf1_fwd.fq.gz
Approx 70% complete for PDAC219Tkf1_fwd.fq.gz
Approx 30% complete for PDAC223Tkf1_rev.fq.gz
Approx 60% complete for PDAC221Tkf1_fwd.fq.gz
Approx 15% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC224Tkf1_fwd.fq.gz
Approx 20% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC224Tkf1_rev.fq.gz
Approx 45% complete for PDAC222Tkf1_fwd.fq.gz
Approx 70% complete for PDAC219Tkf1_rev.fq.gz
Approx 35% complete for PDAC223Tkf1_fwd.fq.gz
Approx 40% complete for PDAC222Tkf1_rev.fq.gz
Approx 70% complete for PDAC220Tkf1_rev.fq.gz
Approx 20% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC221Tkf1_rev.fq.gz
Approx 35% complete for PDAC223Tkf1_rev.fq.gz
Approx 25% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC221Tkf1_fwd.fq.gz
Approx 75% complete for PDAC220Tkf1_fwd.fq.gz
Approx 15% complete for PDAC224Tkf1_fwd.fq.gz
Approx 75% complete for PDAC219Tkf1_fwd.fq.gz
Approx 10% complete for PDAC224Tkf1_rev.fq.gz
Approx 50% complete for PDAC222Tkf1_fwd.fq.gz
Approx 25% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC223Tkf1_fwd.fq.gz
Approx 75% complete for PDAC219Tkf1_rev.fq.gz
Approx 45% complete for PDAC222Tkf1_rev.fq.gz
Approx 65% complete for PDAC221Tkf1_rev.fq.gz
Approx 40% complete for PDAC223Tkf1_rev.fq.gz
Approx 75% complete for PDAC220Tkf1_rev.fq.gz
Approx 70% complete for PDAC221Tkf1_fwd.fq.gz
Approx 20% complete for PDAC224Tkf1_fwd.fq.gz
Approx 30% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC224Tkf1_rev.fq.gz
Approx 80% complete for PDAC220Tkf1_fwd.fq.gz
Approx 35% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC219Tkf1_fwd.fq.gz
Approx 45% complete for PDAC223Tkf1_fwd.fq.gz
Approx 55% complete for PDAC222Tkf1_fwd.fq.gz
Approx 35% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC223Tkf1_rev.fq.gz
Approx 80% complete for PDAC219Tkf1_rev.fq.gz
Approx 70% complete for PDAC221Tkf1_rev.fq.gz
Approx 50% complete for PDAC222Tkf1_rev.fq.gz
Approx 25% complete for PDAC224Tkf1_fwd.fq.gz
Approx 40% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC221Tkf1_fwd.fq.gz
Approx 80% complete for PDAC220Tkf1_rev.fq.gz
Approx 20% complete for PDAC224Tkf1_rev.fq.gz
Approx 85% complete for PDAC220Tkf1_fwd.fq.gz
Approx 40% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC223Tkf1_fwd.fq.gz
Approx 45% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC222Tkf1_fwd.fq.gz
Approx 85% complete for PDAC219Tkf1_fwd.fq.gz
Approx 50% complete for PDAC223Tkf1_rev.fq.gz
Approx 30% complete for PDAC224Tkf1_fwd.fq.gz
Approx 75% complete for PDAC221Tkf1_rev.fq.gz
Approx 80% complete for PDAC221Tkf1_fwd.fq.gz
Approx 25% complete for PDAC224Tkf1_rev.fq.gz
Approx 55% complete for PDAC222Tkf1_rev.fq.gz
Approx 85% complete for PDAC219Tkf1_rev.fq.gz
Approx 45% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC220Tkf1_rev.fq.gz
Approx 90% complete for PDAC220Tkf1_fwd.fq.gz
Approx 55% complete for PDAC223Tkf1_fwd.fq.gz
Approx 55% complete for PDAC223Tkf1_rev.fq.gz
Approx 35% complete for PDAC224Tkf1_fwd.fq.gz
Approx 65% complete for PDAC222Tkf1_fwd.fq.gz
Approx 50% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC221Tkf1_fwd.fq.gz
Approx 90% complete for PDAC219Tkf1_fwd.fq.gz
Approx 80% complete for PDAC221Tkf1_rev.fq.gz
Approx 30% complete for PDAC224Tkf1_rev.fq.gz
Approx 60% complete for PDAC222Tkf1_rev.fq.gz
Approx 90% complete for PDAC219Tkf1_rev.fq.gz
Approx 90% complete for PDAC220Tkf1_rev.fq.gz
Approx 60% complete for PDAC223Tkf1_fwd.fq.gz
Approx 55% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC220Tkf1_fwd.fq.gz
Approx 40% complete for PDAC224Tkf1_fwd.fq.gz
Approx 60% complete for PDAC223Tkf1_rev.fq.gz
Approx 90% complete for PDAC221Tkf1_fwd.fq.gz
Approx 70% complete for PDAC222Tkf1_fwd.fq.gz
Approx 35% complete for PDAC224Tkf1_rev.fq.gz
Approx 85% complete for PDAC221Tkf1_rev.fq.gz
Approx 95% complete for PDAC219Tkf1_fwd.fq.gz
Approx 60% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC222Tkf1_rev.fq.gz
Approx 65% complete for PDAC223Tkf1_fwd.fq.gz
Approx 95% complete for PDAC220Tkf1_rev.fq.gz
Approx 95% complete for PDAC219Tkf1_rev.fq.gz
Approx 45% complete for PDAC224Tkf1_fwd.fq.gz
Analysis complete for PDAC220Tkf1_fwd.fq.gz
Approx 65% complete for PDAC223Tkf1_rev.fq.gz
Started analysis of PDAC225T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC221Tkf1_fwd.fq.gz
Approx 70% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC224Tkf1_rev.fq.gz
Approx 75% complete for PDAC222Tkf1_fwd.fq.gz
Approx 90% complete for PDAC221Tkf1_rev.fq.gz
Approx 5% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC219Tkf1_fwd.fq.gz
Approx 70% complete for PDAC222Tkf1_rev.fq.gz
Approx 70% complete for PDAC223Tkf1_fwd.fq.gz
Started analysis of PDAC225T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC224Tkf1_fwd.fq.gz
Analysis complete for PDAC220Tkf1_rev.fq.gz
Started analysis of PDAC225Tkf1_fwd.fq.gz
Analysis complete for PDAC219Tkf1_rev.fq.gz
Approx 70% complete for PDAC223Tkf1_rev.fq.gz
Approx 45% complete for PDAC224Tkf1_rev.fq.gz
Analysis complete for PDAC221Tkf1_fwd.fq.gz
Approx 10% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC225Tkf1_rev.fq.gz
Started analysis of PDAC226T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC221Tkf1_rev.fq.gz
Approx 80% complete for PDAC222Tkf1_fwd.fq.gz
Approx 75% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC223Tkf1_fwd.fq.gz
Approx 55% complete for PDAC224Tkf1_fwd.fq.gz
Approx 75% complete for PDAC222Tkf1_rev.fq.gz
Approx 10% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC224Tkf1_rev.fq.gz
Approx 75% complete for PDAC223Tkf1_rev.fq.gz
Approx 5% complete for PDAC225Tkf1_fwd.fq.gz
Approx 80% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC225Tkf1_rev.fq.gz
Analysis complete for PDAC221Tkf1_rev.fq.gz
Approx 15% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC226T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC222Tkf1_fwd.fq.gz
Approx 80% complete for PDAC223Tkf1_fwd.fq.gz
Approx 60% complete for PDAC224Tkf1_fwd.fq.gz
Approx 25% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC222Tkf1_rev.fq.gz
Approx 55% complete for PDAC224Tkf1_rev.fq.gz
Approx 25% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC223Tkf1_rev.fq.gz
Approx 10% complete for PDAC225Tkf1_fwd.fq.gz
Approx 10% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC225Tkf1_rev.fq.gz
Approx 25% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC222Tkf1_fwd.fq.gz
Approx 15% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC224Tkf1_fwd.fq.gz
Approx 85% complete for PDAC223Tkf1_fwd.fq.gz
Approx 35% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC224Tkf1_rev.fq.gz
Approx 20% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC222Tkf1_rev.fq.gz
Approx 85% complete for PDAC223Tkf1_rev.fq.gz
Approx 95% complete for PDAC224T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC224T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC225Tkf1_fwd.fq.gz
Started analysis of PDAC226Tkf1_fwd.fq.gz
Approx 40% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC225Tkf1_rev.fq.gz
Approx 35% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC224Tkf1_fwd.fq.gz
Approx 45% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC223Tkf1_fwd.fq.gz
Approx 95% complete for PDAC222Tkf1_fwd.fq.gz
Approx 30% complete for PDAC226T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC224T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC224Tkf1_rev.fq.gz
Started analysis of PDAC226Tkf1_rev.fq.gz
Approx 50% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC222Tkf1_rev.fq.gz
Approx 90% complete for PDAC223Tkf1_rev.fq.gz
Approx 20% complete for PDAC225Tkf1_fwd.fq.gz
Approx 55% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC226Tkf1_fwd.fq.gz
Approx 75% complete for PDAC224Tkf1_fwd.fq.gz
Approx 20% complete for PDAC225Tkf1_rev.fq.gz
Approx 45% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC223Tkf1_fwd.fq.gz
Approx 60% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC222Tkf1_fwd.fq.gz
Approx 70% complete for PDAC224Tkf1_rev.fq.gz
Approx 55% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC226T_F8-9kf1_rev.fq.gz
Started analysis of PDAC227T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC226Tkf1_rev.fq.gz
Approx 95% complete for PDAC223Tkf1_rev.fq.gz
Approx 95% complete for PDAC222Tkf1_rev.fq.gz
Approx 50% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC225Tkf1_fwd.fq.gz
Approx 80% complete for PDAC224Tkf1_fwd.fq.gz
Approx 5% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC225Tkf1_rev.fq.gz
Analysis complete for PDAC223Tkf1_fwd.fq.gz
Approx 10% complete for PDAC226Tkf1_fwd.fq.gz
Started analysis of PDAC227T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC224Tkf1_rev.fq.gz
Approx 75% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC227T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC223Tkf1_rev.fq.gz
Approx 80% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC227Tkf1_fwd.fq.gz
Analysis complete for PDAC222Tkf1_rev.fq.gz
Approx 85% complete for PDAC224Tkf1_fwd.fq.gz
Approx 30% complete for PDAC225Tkf1_fwd.fq.gz
Approx 10% complete for PDAC226Tkf1_rev.fq.gz
Approx 15% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC227Tkf1_rev.fq.gz
Approx 65% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC225Tkf1_rev.fq.gz
Approx 85% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC227T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC224Tkf1_rev.fq.gz
Approx 5% complete for PDAC227Tkf1_fwd.fq.gz
Approx 15% complete for PDAC226Tkf1_fwd.fq.gz
Approx 70% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC227Tkf1_rev.fq.gz
Approx 90% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC227T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC224Tkf1_fwd.fq.gz
Approx 10% complete for PDAC227Tkf1_fwd.fq.gz
Approx 25% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC225Tkf1_fwd.fq.gz
Approx 95% complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC227Tkf1_rev.fq.gz
Approx 15% complete for PDAC226Tkf1_rev.fq.gz
Approx 75% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC225Tkf1_rev.fq.gz
Approx 85% complete for PDAC224Tkf1_rev.fq.gz
Approx 20% complete for PDAC227T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC226T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC227Tkf1_fwd.fq.gz
Approx 30% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC226Tkf1_fwd.fq.gz
Approx 85% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC227Tkf1_rev.fq.gz
Approx 95% complete for PDAC224Tkf1_fwd.fq.gz
Approx 80% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC227T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC225Tkf1_fwd.fq.gz
Approx 90% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC227Tkf1_fwd.fq.gz
Approx 35% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC227Tkf1_rev.fq.gz
Approx 90% complete for PDAC224Tkf1_rev.fq.gz
Approx 95% complete for PDAC226T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC226Tkf1_rev.fq.gz
Approx 30% complete for PDAC227T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC225Tkf1_rev.fq.gz
Approx 40% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC227Tkf1_fwd.fq.gz
Approx 95% complete for PDAC225T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC226T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC224Tkf1_fwd.fq.gz
Approx 25% complete for PDAC227Tkf1_rev.fq.gz
Approx 25% complete for PDAC226Tkf1_fwd.fq.gz
Approx 90% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC225Tkf1_fwd.fq.gz
Approx 35% complete for PDAC227T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC227Tkf1_fwd.fq.gz
Approx 95% complete for PDAC224Tkf1_rev.fq.gz
Analysis complete for PDAC225T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC227Tkf1_rev.fq.gz
Approx 50% complete for PDAC227T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC225T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC225Tkf1_rev.fq.gz
Approx 35% complete for PDAC227Tkf1_fwd.fq.gz
